Baby,Time,Start Side,Left duration (min),Right duration (min),Total Duration (min),Note
Arlo,"6/2/23, 02:10",Left,9,,
Arlo,"6/1/23, 23:50",Right,,9,
Arlo,"6/1/23, 20:45",,5,5,
Arlo,"6/1/23, 19:15",Left,8,4,
Arlo,"6/1/23, 07:05",Right,,6,
Arlo,"6/1/23, 04:52",Left,6,,
Arlo,"6/1/23, 02:27",Right,,8,
Arlo,"5/31/23, 23:08",Left,7,,
Arlo,"5/31/23, 20:40",Right,6,6,
Arlo,"5/31/23, 19:05",Right,5,8,
Arlo,"5/31/23, 16:45",Right,7,4,
Arlo,"5/31/23, 07:15",Right,,8,
Arlo,"5/31/23, 05:45",Left,8,,
Arlo,"5/31/23, 02:42",Right,,6,
Arlo,"5/31/23, 01:01",Left,7,,
Arlo,"5/30/23, 22:40",Right,,8,
Arlo,"5/30/23, 20:05",Left,8,3,
Arlo,"5/30/23, 18:15",Right,5,7,
Arlo,"5/30/23, 06:40",Right,,7,
Arlo,"5/30/23, 03:25",Right,,7,
Arlo,"5/30/23, 01:20",Left,7,,
Arlo,"5/29/23, 22:55",Right,,7,
Arlo,"5/29/23, 20:45",Left,7,,
Arlo,"5/29/23, 19:30",Right,2,7,
Arlo,"5/29/23, 16:10",Left,7,2,
Arlo,"5/29/23, 06:36",Right,,7,
Arlo,"5/28/23, 23:30",Right,,8,
Arlo,"5/28/23, 20:30",Left,7,,
Arlo,"5/28/23, 19:15",Right,,10,
Arlo,"5/28/23, 17:06",Right,1,8,
Arlo,"5/28/23, 09:30",Right,,10,
Arlo,"5/28/23, 07:30",Left,6,1,
Arlo,"5/28/23, 05:50",Right,,8,
Arlo,"5/27/23, 22:23",Left,10,,
Arlo,"5/27/23, 19:15",Right,3,8,
Arlo,"5/27/23, 12:25",Left,9,3,
Arlo,"5/27/23, 08:10",Right,,8,
Arlo,"5/27/23, 06:05",Left,8,,
Arlo,"5/27/23, 00:35",Right,,9,
Arlo,"5/26/23, 20:45",Left,5,5,
Arlo,"5/26/23, 19:30",Right,,5,
Arlo,"5/26/23, 17:50",Left,8,,
Arlo,"5/26/23, 16:15",Right,2,7,
Arlo,"5/26/23, 06:50",Left,7,,
Arlo,"5/26/23, 04:39",Left,5,,
Arlo,"5/25/23, 23:59",Right,,8,
Arlo,"5/25/23, 19:30",Right,4,9,
Arlo,"5/25/23, 18:25",Left,10,,
Arlo,"5/25/23, 16:15",Right,,10,
Arlo,"5/25/23, 06:25",Left,7,,
Arlo,"5/25/23, 02:35",Right,,8,
Arlo,"5/24/23, 20:20",Left,8,5,
Arlo,"5/24/23, 18:55",Left,7,,
Arlo,"5/24/23, 06:05",Left,8,,
Arlo,"5/24/23, 01:10",Left,8,,
Arlo,"5/23/23, 20:00",Right,5,10,
Arlo,"5/23/23, 18:30",Left,5,,
Arlo,"5/23/23, 17:04",Right,,8,
Arlo,"5/23/23, 07:45",Left,11,5,
Arlo,"5/23/23, 01:40",Left,8,1,
Arlo,"5/22/23, 19:10",Right,1,7,
Arlo,"5/22/23, 17:45",Left,7,4,
Arlo,"5/22/23, 07:30",,8,1,
Arlo,"5/22/23, 01:20",Right,,6,
Arlo,"5/21/23, 23:07",Left,6,,
Arlo,"5/21/23, 20:00",Right,2,6,
Arlo,"5/21/23, 18:30",Left,7,,
Arlo,"5/21/23, 06:45",Left,6,4,
Arlo,"5/21/23, 01:38",Right,,10,
Arlo,"5/20/23, 22:07",Left,6,,
Arlo,"5/20/23, 19:35",Right,4,10,,Left at 850
Arlo,"5/20/23, 17:15",Left,7,3,
Arlo,"5/20/23, 07:30",Right,,7,
Arlo,"5/20/23, 06:25",Left,7,,
Arlo,"5/20/23, 02:55",Right,,8,
Arlo,"5/20/23, 00:15",Left,10,,
Arlo,"5/19/23, 20:40",Left,8,3,,R snack before bed 
Arlo,"5/19/23, 18:00",Right,4,8,
Arlo,"5/19/23, 07:20",Left,6,,
Arlo,"5/19/23, 05:50",Right,,7,
Arlo,"5/19/23, 00:15",Left,6,,
Arlo,"5/18/23, 21:50",Right,,7,
Arlo,"5/18/23, 20:00",Left,7,5,
Arlo,"5/18/23, 17:30",Left,6,6,
Arlo,"5/18/23, 11:50",Left,9,7,
Arlo,"5/18/23, 05:40",Left,7,,
Arlo,"5/18/23, 00:55",Left,8,,
Arlo,"5/17/23, 22:40",Right,,8,
Arlo,"5/17/23, 19:30",Left,8,6,
Arlo,"5/17/23, 13:50",Left,8,5,
Arlo,"5/17/23, 09:20",Left,9,2,
Arlo,"5/17/23, 06:45",Right,3,6,
Arlo,"5/17/23, 05:05",Left,7,,
Arlo,"5/17/23, 02:40",Right,,8,
Arlo,"5/17/23, 00:30",Left,10,,
Arlo,"5/16/23, 20:50",Left,8,6,
Arlo,"5/16/23, 18:20",Right,5,5,
Arlo,"5/16/23, 17:05",Right,5,5,
Arlo,"5/16/23, 10:45",Right,,8,
Arlo,"5/16/23, 08:50",Left,12,,
Arlo,"5/16/23, 06:45",Right,,8,
Arlo,"5/16/23, 02:10",Right,,7,
Arlo,"5/16/23, 01:35",Left,7,,
Arlo,"5/15/23, 23:50",Left,7,,
Arlo,"5/15/23, 19:50",Left,10,,
Arlo,"5/15/23, 18:50",Right,,8,
Arlo,"5/15/23, 16:35",Left,12,2,
Arlo,"5/15/23, 13:00",Right,,7,
Arlo,"5/15/23, 11:00",Left,11,3,
Arlo,"5/15/23, 06:45",Right,,9,
Arlo,"5/15/23, 01:10",Left,9,,
Arlo,"5/14/23, 20:00",Left,8,6,
Arlo,"5/14/23, 17:30",Right,,7,
Arlo,"5/14/23, 15:55",Left,5,1,
Arlo,"5/14/23, 12:00",Left,8,,
Arlo,"5/14/23, 09:30",Right,2,6,
Arlo,"5/14/23, 07:55",Left,10,3,,Later right boob
Arlo,"5/14/23, 02:55",Right,,8,
Arlo,"5/14/23, 00:35",Left,11,,
Arlo,"5/13/23, 20:50",Right,,7,
Arlo,"5/13/23, 16:20",Left,7,5,,5 min before nap
Arlo,"5/13/23, 11:30",Left,7,,
Arlo,"5/13/23, 09:15",Left,8,1,
Arlo,"5/13/23, 07:30",Right,,7,
Arlo,"5/13/23, 04:42",Left,8,,
Arlo,"5/13/23, 01:19",Right,,8,
Arlo,"5/12/23, 20:00",Right,,7,
Arlo,"5/12/23, 18:15",Left,10,3,
Arlo,"5/12/23, 15:50",,3,6,
Arlo,"5/12/23, 14:05",Left,6,2,
Arlo,"5/12/23, 07:35",Left,6,4,
Arlo,"5/12/23, 05:15",Right,,7,
Arlo,"5/12/23, 02:05",Left,9,,
Arlo,"5/11/23, 23:00",Right,,8,
Arlo,"5/11/23, 20:40",Left,7,,
Arlo,"5/11/23, 19:20",Right,1,8,
Arlo,"5/11/23, 16:55",Left,7,2,
Arlo,"5/11/23, 15:00",Right,,9,
Arlo,"5/11/23, 10:15",Left,6,2,
Arlo,"5/11/23, 07:40",Right,,8,
Arlo,"5/11/23, 04:40",Left,7,,
Arlo,"5/11/23, 02:10",Right,,7,
Arlo,"5/10/23, 20:55",Left,10,,
Arlo,"5/10/23, 19:00",Right,2,5,
Arlo,"5/10/23, 14:30",Right,,11,
Arlo,"5/10/23, 09:43",Right,1,9,
Arlo,"5/10/23, 07:30",Left,5,,
Arlo,"5/10/23, 05:35",Right,,7,
Arlo,"5/10/23, 02:10",Left,8,,
Arlo,"5/9/23, 20:35",Right,,7,
Arlo,"5/9/23, 18:40",Left,6,4,
Arlo,"5/9/23, 14:16",Left,9,1,
Arlo,"5/9/23, 10:25",Left,9,,
Arlo,"5/9/23, 08:30",Right,,7,
Arlo,"5/9/23, 07:00",Left,9,,
Arlo,"5/9/23, 04:35",Right,,6,
Arlo,"5/9/23, 01:30",Left,8,,
Arlo,"5/8/23, 20:14",Left,5,5,
Arlo,"5/8/23, 19:00",Right,,9,
Arlo,"5/8/23, 14:15",Right,1,10,
Arlo,"5/8/23, 09:50",Right,3,10,
Arlo,"5/8/23, 07:25",Left,6,,
Arlo,"5/8/23, 04:50",Right,,7,
Arlo,"5/8/23, 01:30",Left,6,,
Arlo,"5/7/23, 20:25",Left,6,6,
Arlo,"5/7/23, 17:40",Right,,9,
Arlo,"5/7/23, 15:45",Left,7,,
Arlo,"5/7/23, 12:25",Left,9,,
Arlo,"5/7/23, 09:35",Right,,12,
Arlo,"5/7/23, 07:20",Left,7,,
Arlo,"5/7/23, 04:15",Right,,7,
Arlo,"5/7/23, 00:30",Left,7,,,"Dreamfeed
Tried paci"
Arlo,"5/6/23, 20:40",Right,,11,
Arlo,"5/6/23, 15:40",Right,3,8,
Arlo,"5/6/23, 08:45",Left,7,,
Arlo,"5/6/23, 07:30",Left,6,,
Arlo,"5/6/23, 05:10",Right,,6,
Arlo,"5/6/23, 02:05",Right,,7,
Arlo,"5/5/23, 20:30",Left,7,5,
Arlo,"5/5/23, 19:25",Left,7,,
Arlo,"5/5/23, 14:30",Right,,9,
Arlo,"5/5/23, 12:40",Left,8,,
Arlo,"5/5/23, 08:45",Right,,7,
Arlo,"5/5/23, 06:27",Left,7,,
Arlo,"5/5/23, 03:00",Right,,5,
Arlo,"5/5/23, 01:00",Left,7,,
Arlo,"5/4/23, 20:00",Left,9,,
Arlo,"5/4/23, 18:20",Right,,13,
Arlo,"5/4/23, 16:20",Left,8,,
Arlo,"5/4/23, 13:50",Right,,10,
Arlo,"5/4/23, 09:10",Right,1,10,
Arlo,"5/4/23, 07:10",Right,,7,
Arlo,"5/4/23, 05:35",Left,6,,
Arlo,"5/4/23, 03:15",Right,,6,
Arlo,"5/3/23, 23:30",Left,7,,
Arlo,"5/3/23, 19:55",Right,,8,
Arlo,"5/3/23, 15:30",Right,,8,
Arlo,"5/3/23, 11:45",Right,,7,
Arlo,"5/3/23, 08:35",Left,6,,
Arlo,"5/3/23, 07:00",Right,,10,
Arlo,"5/3/23, 05:35",Left,8,,
Arlo,"5/3/23, 02:10",Right,,9,
Arlo,"5/2/23, 22:40",Left,8,,
Arlo,"5/2/23, 20:15",Right,,10,
Arlo,"5/2/23, 15:30",Right,,9,
Arlo,"5/2/23, 14:00",Left,9,,
Arlo,"5/2/23, 11:55",Right,,9,
Arlo,"5/2/23, 07:35",Right,5,8,,Five on left at 0630
Arlo,"5/2/23, 04:25",Right,,6,
Arlo,"5/2/23, 01:25",Left,8,,
Arlo,"5/1/23, 20:40",Right,,7,
Arlo,"5/1/23, 18:40",Left,7,2,
Arlo,"5/1/23, 16:55",Right,,8,
Arlo,"5/1/23, 13:17",Right,,9,
Arlo,"5/1/23, 11:50",Right,,5,
Arlo,"5/1/23, 09:40",Left,8,,
Arlo,"5/1/23, 08:15",Right,,7,
Arlo,"5/1/23, 06:50",Right,3,9,
Arlo,"5/1/23, 04:47",Left,7,,
Arlo,"5/1/23, 03:03",Right,,6,
Arlo,"5/1/23, 00:50",Left,8,,
Arlo,"4/30/23, 20:20",Right,3,8,
Arlo,"4/30/23, 18:05",Left,10,3,
Arlo,"4/30/23, 14:15",Left,10,,
Arlo,"4/30/23, 11:39",Right,,12,
Arlo,"4/30/23, 08:25",Right,,8,
Arlo,"4/30/23, 07:16",Left,10,,
Arlo,"4/30/23, 04:18",Right,,7,
Arlo,"4/30/23, 01:35",Left,7,,
Arlo,"4/29/23, 17:05",Right,4,14,
Arlo,"4/29/23, 16:05",Left,10,,
Arlo,"4/29/23, 14:30",Left,13,1,
Arlo,"4/29/23, 10:00",Right,,8,
Arlo,"4/29/23, 09:05",Left,7,,
Arlo,"4/29/23, 07:15",Right,,9,
Arlo,"4/29/23, 05:20",Left,6,,
Arlo,"4/29/23, 02:07",Right,,9,
Arlo,"4/28/23, 20:41",Left,7,3,
Arlo,"4/28/23, 15:15",Left,7,3,
Arlo,"4/28/23, 10:10",Left,9,,
Arlo,"4/28/23, 07:45",Left,9,,
Arlo,"4/28/23, 05:34",Right,,10,
Arlo,"4/28/23, 01:50",Left,8,,
Arlo,"4/27/23, 18:30",Right,,10,
Arlo,"4/27/23, 17:00",Left,7,,
Arlo,"4/27/23, 12:15",Left,10,5,
Arlo,"4/27/23, 09:30",Left,11,,
Arlo,"4/27/23, 08:35",Right,,10,
Arlo,"4/27/23, 07:10",Left,8,,
Arlo,"4/27/23, 05:05",Right,3,7,
Arlo,"4/27/23, 01:33",Left,8,2,
Arlo,"4/26/23, 20:00",Right,,10,
Arlo,"4/26/23, 18:40",Left,8,5,
Arlo,"4/26/23, 14:15",Left,11,,
Arlo,"4/26/23, 09:10",Left,9,5,
Arlo,"4/26/23, 06:30",Left,6,2,
Arlo,"4/26/23, 03:22",Right,,8,
Arlo,"4/26/23, 00:30",Left,10,,
Arlo,"4/25/23, 21:50",Left,10,,
Arlo,"4/25/23, 19:15",Right,4,7,
Arlo,"4/25/23, 17:18",Right,3,8,
Arlo,"4/25/23, 15:45",Left,10,,
Arlo,"4/25/23, 12:50",Right,,9,
Arlo,"4/25/23, 09:00",Left,8,,
Arlo,"4/25/23, 07:15",Left,7,,
Arlo,"4/25/23, 04:20",Right,,8,
Arlo,"4/25/23, 03:02",Left,5,,
Arlo,"4/25/23, 00:00",Right,,7,
Arlo,"4/24/23, 20:07",Left,6,4,
Arlo,"4/24/23, 18:05",Right,,10,
Arlo,"4/24/23, 13:40",Left,7,3,
Arlo,"4/24/23, 08:48",Right,,7,
Arlo,"4/24/23, 07:21",Left,7,,
Arlo,"4/24/23, 04:51",Right,,8,
Arlo,"4/24/23, 02:18",Left,6,,
Arlo,"4/24/23, 00:00",Right,2,6,
Arlo,"4/23/23, 19:30",Left,10,,
Arlo,"4/23/23, 18:43",Right,,13,
Arlo,"4/23/23, 16:41",Left,8,,
Arlo,"4/23/23, 13:05",Right,,10,
Arlo,"4/23/23, 11:10",Left,8,,
Arlo,"4/23/23, 08:47",Right,,10,
Arlo,"4/23/23, 06:55",Left,7,3,
Arlo,"4/23/23, 03:54",Right,,8,
Arlo,"4/23/23, 00:50",Left,6,,
Arlo,"4/22/23, 20:25",Right,,7,
Arlo,"4/22/23, 17:40",Left,7,,
Arlo,"4/22/23, 15:05",Right,,8,
Arlo,"4/22/23, 11:35",Left,9,,
Arlo,"4/22/23, 09:45",Right,,8,
Arlo,"4/22/23, 08:04",Left,6,3,
Arlo,"4/22/23, 05:40",Right,,5,
Arlo,"4/22/23, 04:07",Left,7,,
Arlo,"4/22/23, 01:07",Right,,8,
Arlo,"4/21/23, 22:21",Left,7,,
Arlo,"4/21/23, 20:15",Right,4,4,
Arlo,"4/21/23, 17:25",Left,13,,
Arlo,"4/21/23, 15:26",Right,,9,
Arlo,"4/21/23, 13:12",Left,11,1,
Arlo,"4/21/23, 10:37",Right,,9,
Arlo,"4/21/23, 07:57",Left,10,,
Arlo,"4/21/23, 05:47",Right,,6,
Arlo,"4/21/23, 03:32",Left,7,,
Arlo,"4/21/23, 01:13",Right,,8,
Arlo,"4/20/23, 21:50",Left,7,,
Arlo,"4/20/23, 20:12",Right,,9,
Arlo,"4/20/23, 16:07",Left,7,,
Arlo,"4/20/23, 14:36",Right,1,9,
Arlo,"4/20/23, 12:31",Left,8,,
Arlo,"4/20/23, 08:47",Left,10,2,
Arlo,"4/20/23, 06:27",Right,,8,
Arlo,"4/20/23, 04:47",Left,8,,
Arlo,"4/20/23, 02:29",Right,,8,
Arlo,"4/19/23, 23:50",Left,8,,
Arlo,"4/19/23, 21:00",,5,5,
Arlo,"4/19/23, 18:48",Left,9,3,
Arlo,"4/19/23, 14:46",Right,,9,
Arlo,"4/19/23, 12:45",Left,10,,
Arlo,"4/19/23, 11:00",Right,,7,
Arlo,"4/19/23, 10:15",Left,6,2,
Arlo,"4/19/23, 09:28",Left,6,,
Arlo,"4/19/23, 06:35",Right,,7,
Arlo,"4/19/23, 05:40",Left,6,,
Arlo,"4/19/23, 03:19",Right,,7,
Arlo,"4/19/23, 02:00",Left,7,,
Arlo,"4/19/23, 00:20",Right,,7,
Arlo,"4/18/23, 20:45",Left,6,3,
Arlo,"4/18/23, 17:30",Right,3,11,
Arlo,"4/18/23, 15:45",Left,11,3,
Arlo,"4/18/23, 14:15",Left,5,,
Arlo,"4/18/23, 13:14",Right,,11,
Arlo,"4/18/23, 09:00",Left,14,,
Arlo,"4/18/23, 07:30",Right,2,10,
Arlo,"4/18/23, 04:45",Left,6,,
Arlo,"4/18/23, 02:45",Right,,8,
Arlo,"4/18/23, 00:40",Left,7,,
Arlo,"4/17/23, 21:30",Right,2,9,
Arlo,"4/17/23, 18:00",Left,8,,
Arlo,"4/17/23, 16:15",Right,5,7,
Arlo,"4/17/23, 14:23",Right,,8,
Arlo,"4/17/23, 13:30",Left,5,1,
Arlo,"4/17/23, 11:35",Right,,7,
Arlo,"4/17/23, 09:45",Left,12,,
Arlo,"4/17/23, 09:02",Left,6,,
Arlo,"4/17/23, 06:29",Right,,7,
Arlo,"4/17/23, 05:00",Left,8,,
Arlo,"4/17/23, 03:05",Left,6,,
Arlo,"4/17/23, 01:45",Right,,7,
Arlo,"4/16/23, 23:25",Left,7,,
Arlo,"4/16/23, 20:23",Right,,5,
Arlo,"4/16/23, 19:34",Right,6,9,
Arlo,"4/16/23, 18:18",Left,7,,
Arlo,"4/16/23, 15:00",Right,2,14,
Arlo,"4/16/23, 12:50",Left,17,,
Arlo,"4/16/23, 11:10",Right,,12,
Arlo,"4/16/23, 10:25",Left,7,,
Arlo,"4/16/23, 09:00",Right,,12,
Arlo,"4/16/23, 05:40",Left,10,,
Arlo,"4/16/23, 04:35",Right,,6,
Arlo,"4/16/23, 03:30",Left,5,,
Arlo,"4/16/23, 02:36",Right,,7,
Arlo,"4/16/23, 01:25",Left,12,,
Arlo,"4/15/23, 22:30",Right,,9,
Arlo,"4/15/23, 18:52",Left,12,,
Arlo,"4/15/23, 17:40",Right,,8,
Arlo,"4/15/23, 16:30",Left,12,4,
Arlo,"4/15/23, 13:36",Right,,6,
Arlo,"4/15/23, 10:45",Left,10,7,
Arlo,"4/15/23, 09:00",Left,8,,
Arlo,"4/15/23, 06:52",Right,,7,
Arlo,"4/15/23, 04:30",Left,5,,
Arlo,"4/15/23, 01:40",Right,,7,
Arlo,"4/14/23, 22:25",Left,10,,
Arlo,"4/14/23, 20:15",Right,,10,
Arlo,"4/14/23, 19:00",,10,10,,Clustering idk
Arlo,"4/14/23, 16:45",Left,8,,
Arlo,"4/14/23, 15:00",Right,3,10,
Arlo,"4/14/23, 13:00",Left,13,,
Arlo,"4/14/23, 10:50",Right,,6,
Arlo,"4/14/23, 09:30",Left,6,,
Arlo,"4/14/23, 08:00",Right,,10,
Arlo,"4/14/23, 06:50",Left,7,,
Arlo,"4/14/23, 04:20",Right,,10,
Arlo,"4/14/23, 02:45",Left,11,,
Arlo,"4/14/23, 00:15",Right,,9,
Arlo,"4/13/23, 20:57",Left,11,,
Arlo,"4/13/23, 18:45",Right,,15,
Arlo,"4/13/23, 17:00",Left,10,,
Arlo,"4/13/23, 14:59",Left,11,,
Arlo,"4/13/23, 14:00",Right,,5,
Arlo,"4/13/23, 13:00",Left,9,,
Arlo,"4/13/23, 11:03",Right,,10,
Arlo,"4/13/23, 09:48",Left,7,,
Arlo,"4/13/23, 07:10",Right,,7,
Arlo,"4/13/23, 06:12",Left,7,,
Arlo,"4/13/23, 04:20",Right,,5,
Arlo,"4/13/23, 03:00",Left,5,,
Arlo,"4/13/23, 01:30",Right,,10,
Arlo,"4/12/23, 23:36",Left,10,,
Arlo,"4/12/23, 20:56",Right,,10,
Arlo,"4/12/23, 17:31",Right,7,7,
Arlo,"4/12/23, 15:45",Left,10,,
Arlo,"4/12/23, 14:30",Right,,9,
Arlo,"4/12/23, 13:10",Left,8,,
Arlo,"4/12/23, 11:42",Right,,8,
Arlo,"4/12/23, 09:55",Left,8,,
Arlo,"4/12/23, 06:53",Right,,8,
Arlo,"4/12/23, 05:30",Left,5,,
Arlo,"4/12/23, 04:21",Right,,5,
Arlo,"4/12/23, 03:16",Left,6,,
Arlo,"4/12/23, 00:00",Right,,9,
Arlo,"4/11/23, 20:45",Left,7,4,
Arlo,"4/11/23, 17:15",Right,,10,
Arlo,"4/11/23, 15:15",Left,7,4,
Arlo,"4/11/23, 13:10",Right,3,14,
Arlo,"4/11/23, 10:59",Left,7,,
Arlo,"4/11/23, 09:50",Left,5,2,
